Date          Time        Pos Samples   Neg Samples
2015.12.24    00:33:32           2314          7686
2015.12.24    00:37:06           2624          7376
2015.12.24    00:40:52           2914          7086
2015.12.24    00:44:26           2774          7226
2015.12.24    00:49:31           3135          6865
2015.12.24    00:51:39           3408          6592
2015.12.24    00:54:01           3268          6732
2015.12.24    00:56:29           3391          6609
2015.12.24    00:58:34           3172          6828
2015.12.24    01:02:21           3341          6659
2015.12.24    01:04:23           3381          6619
2015.12.24    01:06:30           3345          6655
2015.12.24    01:08:38           3379          6621
2015.12.24    01:10:45           3516          6484
2015.12.24    01:12:48           3546          6454
2015.12.24    01:14:52           3467          6533
2015.12.24    01:16:57           3467          6533
2015.12.24    01:19:03           3491          6509
2015.12.24    01:21:08           3858          6142
2015.12.24    01:37:28          20413         29587
2015.12.24    01:46:29          20855         29145
2015.12.24    01:55:30          20810         29190
2015.12.24    02:04:28          20949         29051
2015.12.24    02:13:32          21074         28926
2015.12.24    02:22:30          21070         28930
2015.12.24    02:31:31          21028         28972
2015.12.24    02:40:34          21225         28775
2015.12.24    02:49:35          21373         28627
2015.12.24    02:58:36          21449         28551
2015.12.24    03:07:40          21456         28544
2015.12.24    03:16:43          21376         28624
2015.12.24    03:25:44          24532         25468
2015.12.24    03:34:45          24960         25040
2015.12.24    03:43:49          25148         24852
2015.12.24    03:52:51          25019         24981
2015.12.24    04:01:55          25230         24770
2015.12.24    04:10:59          25210         24790
2015.12.24    05:29:32          25186         24814
2015.12.24    12:07:23          25236         24764
2016.01.12    13:54:32          25223         24777
2016.01.12    14:33:55          25239         24761
2016.01.12    15:35:42          25229         24771
2016.01.12    16:18:12          25265         24735
